184,59782 ,496 ,60278
188,48756 ,390 ,49146
189,48374 ,414 ,48788
190,51811 ,615 ,52426
185,69495 ,616 ,70111
191,52533 ,458 ,52991
192,54347 ,435 ,54782
193,50950 ,429 ,51379
194,61493 ,404 ,61897
195,55749 ,408 ,56157
196,50979 ,384 ,51363
197,46214 ,404 ,46618
198,48943 ,405 ,49348
200,48228 ,393 ,48621
199,58144 ,410 ,58554
201,51682 ,430 ,52112
203,62721 ,425 ,63146
202,64241 ,556 ,64797
205,56647 ,477 ,57124
204,67245 ,584 ,67829
206,58030 ,433 ,58463
207,55847 ,388 ,56235
208,55311 ,413 ,55724
209,62109 ,433 ,62542
211,49866 ,410 ,50276
210,55458 ,410 ,55868
212,51370 ,448 ,51818
215,53968 ,425 ,54393
213,69056 ,596 ,69652
216,61625 ,428 ,62053
217,75924 ,423 ,76347
218,72708 ,781 ,73489
221,51455 ,427 ,51882
214,90817 ,892 ,91709
220,61505 ,397 ,61902
219,78802 ,556 ,79358
222,55960 ,505 ,56465
224,56576 ,385 ,56961
223,59691 ,364 ,60055
225,64509 ,506 ,65015
229,52798 ,337 ,53135
228,57553 ,533 ,58086
231,43344 ,519 ,43863
227,74173 ,582 ,74755
232,50079 ,337 ,50416
230,68133 ,410 ,68543
233,44280 ,327 ,44607
234,47717 ,978 ,48695
235,42645 ,327 ,42972
226,95493 ,1173,96666
236,59237 ,386 ,59623
238,46878 ,349 ,47227
237,57624 ,431 ,58055
239,47833 ,363 ,48196
240,40603 ,353 ,40956
241,63769 ,577 ,64346
245,40471 ,368 ,40839
243,49062 ,421 ,49483
244,47789 ,389 ,48178
247,39626 ,350 ,39976
242,74558 ,515 ,75073
248,40849 ,342 ,41191
246,54115 ,468 ,54583
251,40003 ,331 ,40334
249,58019 ,549 ,58568
250,56682 ,436 ,57118
252,53517 ,424 ,53941
253,55890 ,550 ,56440
255,49355 ,379 ,49734
254,58646 ,357 ,59003
