63 , 5389 , 3435 , 8824
16 , 6214 , 3279 , 9493
17 , 6737 , 3204 , 9941
0 , 7310 , 3275 , 10585
18 , 8418 , 3813 , 12231
1 , 8712 , 3457 , 12169
41 , 11060 , 3237 , 14297
2 , 11582 , 3193 , 14775
42 , 12317 , 3177 , 15494
43 , 13084 , 3258 , 16342
44 , 12977 , 3290 , 16267
3 , 13384 , 3232 , 16616
4 , 14847 , 3787 , 18634
5 , 21846 , 3262 , 25108
11 , 22550 , 3231 , 25781
9 , 24138 , 3314 , 27452
7 , 25172 , 3090 , 28262
19 , 27738 , 1976 , 29714
47 , 32953 , 3410 , 36363
54 , 35882 , 3390 , 39272
14 , 39853 , 3351 , 43204
10 , 40297 , 3310 , 43607
12 , 43981 , 3145 , 47126
55 , 51251 , 3303 , 54554
13 , 54905 , 3110 , 58015
51 , 52688 , 3602 , 56290
58 , 53385 , 3062 , 56447
45 , 54185 , 3229 , 57414
48 , 54692 , 3129 , 57821
6 , 60823 , 3156 , 63979
56 , 60004 , 3126 , 63130
15 , 63803 , 3154 , 66957
57 , 65415 , 3196 , 68611
46 , 67763 , 3165 , 70928
8 , 56927 , 12096 , 69023
49 , 78927 , 3201 , 82128
20 , 106489 , 2975 , 109464
35 , 113039 , 3226 , 116265
32 , 131130 , 2986 , 134116
40 , 140463 , 3054 , 143517
52 , 147024 , 3131 , 150155
53 , 149555 , 3086 , 152641
22 , 150957 , 3050 , 154007
50 , 154382 , 1979 , 156361
59 , 152691 , 3256 , 155947
21 , 157560 , 3544 , 161104
24 , 162935 , 4413 , 167348
25 , 178700 , 1909 , 180609
23 , 191759 , 3235 , 194994
26 , 201168 , 3047 , 204215
30 , 208494 , 3242 , 211736
27 , 212920 , 3129 , 216049
29 , 217733 , 1986 , 219719
61 , 221704 , 3182 , 224886
33 , 232459 , 3068 , 235527
31 , 239299 , 3386 , 242685
28 , 243201 , 3079 , 246280
34 , 254507 , 3095 , 257602
37 , 262931 , 3365 , 266296
36 , 267414 , 3226 , 270640
62 , 275769 , 4223 , 279992
60 , 283111 , 3123 , 286234
38 , 288927 , 3099 , 292026
39 , 297692 , 3081 , 300773
