1  ,4  ,4   ,2  ,4  ,4  ,4
2  ,4  ,5   ,3  ,5  ,6  ,6
3  ,4  ,8   ,5  ,5  ,6  ,6
4  ,4  ,11  ,7  ,7  ,10 ,8
5  ,4  ,14  ,7  ,9  ,10 ,10
6  ,4  ,16  ,10 ,11 ,12 ,11
7  ,4  ,19  ,10 ,13 ,13 ,13
8  ,5  ,21  ,12 ,15 ,16 ,13
9  ,13 ,23  ,13 ,16 ,16 ,15
10 ,15 ,24  ,15 ,18 ,18 ,16
11 ,18 ,28  ,16 ,18 ,20 ,19
12 ,21 ,31  ,18 ,20 ,22 ,22
13 ,23 ,34  ,19 ,22 ,22 ,24
14 ,23 ,35  ,21 ,24 ,23 ,24
15 ,25 ,38  ,21 ,25 ,24 ,27
16 ,25 ,40  ,24 ,27 ,26 ,28
17 ,28 ,42  ,24 ,27 ,26 ,29
18 ,28 ,44  ,27 ,29 ,29 ,31
19 ,31 ,46  ,27 ,30 ,29 ,31
20 ,33 ,51  ,29 ,31 ,32 ,34
21 ,33 ,52  ,30 ,34 ,32 ,34
22 ,36 ,54  ,32 ,36 ,35 ,36
23 ,38 ,57  ,32 ,36 ,37 ,38
24 ,38 ,59  ,34 ,38 ,37 ,38
25 ,41 ,63  ,35 ,38 ,40 ,40
26 ,41 ,67  ,36 ,40 ,40 ,43
27 ,43 ,71  ,37 ,42 ,43 ,44
28 ,44 ,75  ,40 ,42 ,43 ,45
29 ,46 ,79  ,42 ,45 ,46 ,48
30 ,48 ,83  ,43 ,45 ,46 ,48
31 ,51 ,85  ,45 ,48 ,48 ,50
32 ,53 ,87  ,47 ,48 ,48 ,53
33 ,53 ,90  ,48 ,50 ,51 ,54
34 ,55 ,92  ,50 ,51 ,53 ,56
35 ,58 ,95  ,52 ,53 ,54 ,58
36 ,60 ,99  ,54 ,55 ,56 ,59
37 ,61 ,102 ,55 ,56 ,58 ,60
38 ,64 ,106 ,56 ,59 ,60 ,62
39 ,64 ,108 ,58 ,61 ,62 ,62
40 ,66 ,111 ,61 ,61 ,63 ,64
41 ,66 ,114 ,63 ,63 ,65 ,64
42 ,69 ,116 ,63 ,65 ,65 ,66
43 ,69 ,120 ,66 ,66 ,68 ,66
44 ,71 ,122 ,67 ,67 ,68 ,69
45 ,71 ,125 ,69 ,68 ,71 ,70
46 ,74 ,127 ,69 ,71 ,71 ,72
47 ,77 ,131 ,72 ,72 ,74 ,73
48 ,77 ,133 ,73 ,74 ,74 ,75
49 ,80 ,136 ,75 ,76 ,77 ,76
50 ,82 ,138 ,77 ,79 ,80 ,78
51 ,82 ,142 ,78 ,79 ,82 ,78
52 ,84 ,146 ,82 ,83 ,82 ,80
53 ,85 ,149 ,84 ,85 ,86 ,82
54 ,86 ,151 ,85 ,85 ,86 ,82
55 ,90 ,153 ,87 ,87 ,89 ,84
56 ,92 ,156 ,88 ,90 ,89 ,85
57 ,93 ,160 ,90 ,90 ,92 ,88
58 ,95 ,164 ,91 ,93 ,92 ,90
59 ,95 ,167 ,93 ,94 ,96 ,93
60 ,98 ,169 ,93 ,96 ,96 ,95
61 ,98 ,172 ,95 ,97 ,98 ,95
62 ,102,174 ,96 ,100,100,98
63 ,103,178 ,100,100,101,98
64 ,105,180 ,100,102,103,100
65 ,108,182 ,102,102,104,100
66 ,108,185 ,102,105,108,103
67 ,111,188 ,105,107,108,103
68 ,112,192 ,107,109,110,105
69 ,114,194 ,110,109,111,106
70 ,114,196 ,111,112,112,108
71 ,116,200 ,112,112,116,110
72 ,118,203 ,114,116,116,111
73 ,120,207 ,115,117,118,112
74 ,121,210 ,118,118,118,114
75 ,124,213 ,118,119,121,116
76 ,124,216 ,121,121,121,118
77 ,127,218 ,121,123,123,119
78 ,129,222 ,124,124,124,121
79 ,131,223 ,124,126,126,123
80 ,132,227 ,126,126,127,125
81 ,134,231 ,126,128,130,125
82 ,136,235 ,129,131,132,127
83 ,138,239 ,129,131,133,129
84 ,140,242 ,132,134,135,129
85 ,142,245 ,132,135,136,131
86 ,144,247 ,135,137,139,132
87 ,145,250 ,136,139,140,134
88 ,147,254 ,138,140,141,134
89 ,150,256 ,140,142,145,136
90 ,150,260 ,141,146,147,137
91 ,152,264 ,143,146,149,138
92 ,152,268 ,143,148,151,140
93 ,156,271 ,146,148,153,142
94 ,156,273 ,146,150,155,144
95 ,158,276 ,148,150,156,146
96 ,160,279 ,148,153,158,146
97 ,161,283 ,151,153,160,148
98 ,164,285 ,151,156,161,148
99 ,165,287 ,154,157,164,150
100,167,291 ,154,158,164,152
101,167,293 ,157,159,166,152
102,170,295 ,157,161,167,154
103,170,297 ,160,163,170,154
104,172,301 ,160,165,170,156
105,175,303 ,163,166,173,157
106,175,305 ,166,168,173,159
107,177,309 ,166,171,175,159
108,178,313 ,168,171,175,161
109,179,315 ,168,173,178,162
110,181,319 ,171,175,179,164
111,181,323 ,172,178,181,166
112,184,326 ,175,178,184,167
113,184,330 ,176,180,184,169
114,187,332 ,177,181,186,169
115,189,335 ,178,184,188,171
116,191,337 ,180,186,190,172
117,193,341 ,181,188,192,175
118,196,342 ,184,189,193,175
119,196,345 ,184,192,196,177
120,198,349 ,186,192,198,179
121,200,352 ,189,194,199,181
122,201,354 ,189,194,200,182
123,203,358 ,191,196,202,185
124,205,359 ,193,196,204,187
125,206,363 ,196,200,204,188
126,208,365 ,198,202,208,190
127,209,368 ,200,203,209,192
128,213,372 ,202,205,211,194
129,213,376 ,205,205,212,196
130,215,378 ,207,207,214,198
131,216,380 ,210,208,215,200
132,218,384 ,211,210,216,201
133,220,386 ,212,212,217,203
134,221,388 ,214,214,219,205
135,224,390 ,215,217,221,207
136,224,393 ,217,218,223,208
137,226,396 ,217,221,224,209
138,227,398 ,220,222,226,210
139,230,400 ,220,223,228,211
140,231,403 ,222,226,230,213
141,233,407 ,223,227,231,215
142,233,409 ,226,229,233,217
143,236,411 ,228,229,235,217
144,236,415 ,228,232,235,220
145,239,418 ,230,232,238,221
146,239,420 ,232,234,238,223
147,241,423 ,235,236,240,225
148,244,427 ,235,239,241,225
149,244,429 ,237,241,243,227
150,246,432 ,239,242,246,230
151,246,435 ,241,244,246,231
152,247,437 ,244,247,249,233
153,250,439 ,244,248,249,233
154,252,441 ,246,250,252,235
155,254,444 ,247,253,252,237
156,256,446 ,248,253,255,238
157,258,449 ,251,255,256,240
158,259,451 ,251,258,260,240
159,262,454 ,253,259,262,243
160,262,456 ,254,259,263,243
161,264,460 ,256,262,266,245
162,264,464 ,256,262,267,247
163,267,467 ,259,266,269,248
164,267,468 ,260,266,270,250
165,269,472 ,262,268,273,250
166,269,475 ,263,271,276,253
167,271,479 ,266,273,278,253
168,271,482 ,266,275,278,255
169,273,486 ,269,275,280,257
170,274,487 ,269,277,280,257
171,276,490 ,273,277,283,261
172,276,493 ,275,280,283,262
173,279,496 ,276,280,285,263
174,281,498 ,278,283,286,267
175,282,500 ,279,285,290,269
176,284,502 ,282,287,292,271
177,286,505 ,285,289,292,271
178,287,509 ,287,291,295,274
179,288,512 ,289,291,296,275
180,288,515 ,292,293,298,276
181,292,518 ,294,295,301,279
182,293,520 ,295,297,302,279
183,293,523 ,297,299,304,281
184,295,526 ,297,299,306,283
185,297,528 ,300,301,307,284
186,297,530 ,303,302,309,286
187,300,533 ,303,305,311,286
188,302,535 ,305,307,311,289
189,304,537 ,306,309,314,290
190,306,540 ,308,311,315,292
191,308,542 ,310,312,318,293
192,310,545 ,312,314,318,296
193,310,548 ,313,316,320,297
194,312,550 ,314,317,321,299
195,314,553 ,316,318,323,299
196,316,557 ,319,320,323,301
197,318,560 ,321,322,325,303
198,318,561 ,323,324,326,305
199,320,563 ,325,325,328,305
200,322,567 ,325,329,328,308
201,322,571 ,327,330,331,310
202,324,573 ,328,332,333,311
203,325,577 ,330,334,333,315
204,326,579 ,330,336,335,317
205,328,582 ,334,337,336,317
206,328,584 ,334,340,338,319
207,330,587 ,337,342,340,322
208,331,590 ,338,344,343,322
209,332,592 ,339,347,343,324
210,333,595 ,341,347,346,325
211,335,598 ,342,350,349,326
212,335,600 ,343,350,350,328
213,338,603 ,344,353,351,328
214,339,604 ,346,353,353,330
215,341,607 ,347,356,355,333
216,343,611 ,349,357,357,333
217,344,614 ,349,359,359,335
218,347,617 ,352,361,359,335
219,348,620 ,355,363,361,338
220,351,623 ,356,364,363,340
221,352,625 ,359,366,365,340
222,354,628 ,360,368,367,342
223,354,630 ,364,370,370,344
224,356,633 ,364,370,370,345
225,357,636 ,366,373,373,346
226,358,639 ,366,375,375,347
227,360,642 ,369,376,377,349
228,361,645 ,371,378,377,350
229,362,648 ,373,380,379,352
230,363,650 ,374,382,382,354
231,365,652 ,375,383,383,356
232,367,655 ,376,385,384,358
233,369,656 ,378,387,386,359
234,369,658 ,378,387,387,361
235,374,661 ,381,390,390,362
236,376,664 ,383,393,391,365
237,376,666 ,384,394,393,366
238,380,668 ,386,396,393,367
239,380,671 ,387,398,395,369
240,383,674 ,389,400,395,369
241,383,676 ,391,402,398,371
242,386,678 ,392,402,399,371
243,386,680 ,394,404,401,374
244,388,685 ,396,404,402,374
245,388,688 ,399,407,404,377
246,391,690 ,399,409,406,379
247,391,694 ,402,411,409,379
248,394,697 ,403,413,409,382
249,396,699 ,406,416,411,383
250,398,701 ,408,417,411,385
251,400,704 ,410,419,413,385
252,403,706 ,410,419,414,387
253,406,709 ,412,421,416,387
254,408,711 ,412,422,418,389
255,411,714 ,415,425,421,391
256,411,716 ,417,426,421,394
257,413,719 ,418,429,424,397
258,415,722 ,420,431,425,398
259,418,725 ,421,433,426,400
260,421,727 ,423,434,427,403
261,423,731 ,423,436,428,403
262,424,733 ,426,436,431,406
263,425,737 ,426,439,431,406
264,428,739 ,428,439,433,409
265,431,741 ,429,441,436,411
266,431,744 ,432,442,437,411
267,433,747 ,432,444,439,413
268,436,750 ,435,446,441,413
269,437,752 ,436,447,444,415
270,439,755 ,437,449,444,416
271,441,759 ,438,452,447,418
272,442,762 ,440,452,449,418
273,445,766 ,440,454,450,421
274,446,768 ,443,456,452,423
275,449,770 ,444,456,453,423
276,451,773 ,445,458,455,425
277,452,777 ,448,459,455,428
278,454,779 ,448,463,458,429
279,455,783 ,451,464,461,431
280,457,786 ,451,467,462,431
281,459,790 ,454,467,463,434
282,460,792 ,454,469,465,436
283,462,795 ,456,472,467,438
284,463,797 ,457,472,468,440
285,465,799 ,459,474,470,440
286,465,802 ,460,475,472,443
287,468,806 ,461,478,473,443
288,468,808 ,462,479,475,446
289,471,810 ,465,482,477,446
290,471,814 ,465,485,477,448
291,474,817 ,468,486,480,448
292,474,819 ,469,489,480,451
293,476,823 ,471,489,482,451
294,478,827 ,472,493,483,453
295,481,831 ,476,495,486,453
296,483,835 ,476,497,486,456
297,485,838 ,478,499,489,456
298,485,840 ,478,501,491,458
299,489,842 ,481,502,491,458
300,489,845 ,481,504,494,461
301,491,847 ,484,506,497,461
302,493,850 ,484,506,499,463
303,493,854 ,486,510,501,464
304,496,857 ,487,511,502,467
305,496,859 ,489,514,505,469
306,499,861 ,490,514,507,469
307,501,865 ,492,516,509,472
308,502,868 ,495,516,509,472
309,507,872 ,497,520,511,475
310,509,874 ,497,521,512,477
311,511,876 ,500,523,514,477
312,512,880 ,500,526,516,479
313,516,884 ,503,526,516,480
314,518,887 ,506,528,520,482
315,520,890 ,507,531,522,482
316,523,893 ,509,531,522,484
317,525,895 ,511,533,525,485
318,528,898 ,512,535,528,486
319,529,900 ,514,535,530,488
320,530,902 ,515,538,532,491
321,533,904 ,517,541,534,492
322,533,906 ,519,541,535,494
323,536,908 ,520,545,537,496
324,538,911 ,522,547,540,496
325,539,913 ,524,547,540,499
326,540,915 ,525,549,542,500
327,543,917 ,527,550,545,503
328,543,920 ,527,552,548,503
329,545,925 ,530,553,548,505
330,545,927 ,530,556,550,506
331,547,931 ,532,558,550,507
